iter	Passed	Remaining
420	2341	3220
421	2346	3214
422	2352	3209
423	2358	3203
424	2363	3197
425	2369	3192
426	2375	3187
427	2380	3182
428	2385	3175
429	2391	3170
430	2396	3164
431	2401	3158
432	2407	3152
433	2413	3147
434	2419	3142
435	2425	3137
436	2430	3131
437	2435	3125
438	2441	3119
439	2447	3114
440	2452	3109
441	2458	3103
442	2464	3098
443	2469	3092
444	2475	3087
445	2480	3081
446	2486	3076
447	2491	3070
448	2497	3064
449	2502	3058
450	2507	3052
451	2512	3046
452	2518	3040
453	2523	3035
454	2529	3029
455	2534	3024
456	2540	3018
457	2546	3013
458	2552	3008
459	2558	3002
460	2563	2997
461	2569	2991
462	2574	2986
463	2580	2981
464	2586	2976
465	2592	2970
466	2597	2964
467	2603	2959
468	2609	2954
469	2615	2948
470	2620	2943
471	2627	2938
472	2632	2933
473	2638	2927
474	2643	2921
475	2649	2916
476	2654	2910
477	2659	2904
478	2665	2898
479	2670	2893
480	2676	2888
481	2682	2882
482	2687	2876
483	2693	2871
484	2698	2865
485	2704	2860
486	2709	2854
487	2715	2848
488	2720	2843
489	2726	2838
490	2732	2832
491	2737	2826
492	2742	2820
493	2748	2815
494	2754	2809
495	2759	2804
496	2765	2798
497	2770	2793
498	2776	2788
499	2782	2782
500	2787	2776
501	2792	2770
502	2798	2764
503	2803	2759
504	2808	2752
505	2814	2747
506	2819	2741
507	2825	2736
508	2830	2730
509	2836	2725
510	2842	2719
511	2847	2713
512	2852	2708
513	2858	2702
514	2864	2697
515	2869	2691
516	2875	2685
517	2880	2680
518	2885	2674
519	2891	2668
520	2896	2663
521	2901	2656
522	2906	2651
523	2912	2645
524	2918	2640
525	2923	2634
526	2929	2629
527	2934	2623
528	2939	2617
529	2944	2611
530	2950	2605
531	2955	2600
532	2961	2594
533	2967	2589
534	2972	2583
535	2978	2578
536	2983	2572
537	2989	2566
538	2994	2561
539	3000	2555
540	3005	2549
541	3011	2544
542	3017	2539
543	3022	2533
544	3028	2528
545	3034	2523
546	3040	2517
547	3046	2512
548	3051	2507
549	3057	2501
550	3063	2496
551	3068	2490
552	3074	2485
553	3080	2479
554	3086	2474
555	3091	2468
556	3097	2463
557	3102	2457
558	3108	2452
559	3113	2445
560	3118	2440
561	3124	2434
562	3129	2428
563	3134	2423
564	3139	2417
565	3145	2411
566	3150	2405
567	3155	2399
568	3161	2394
569	3167	2389
570	3172	2383
571	3178	2378
572	3184	2373
573	3190	2367
574	3195	2362
575	3202	2357
576	3208	2351
577	3213	2346
578	3218	2340
579	3224	2334
580	3230	2329
581	3236	2324
582	3241	2318
583	3247	2312
584	3252	2307
585	3257	2301
586	3262	2295
587	3267	2289
588	3273	2284
589	3278	2278
590	3283	2272
591	3289	2267
592	3294	2261
593	3300	2255
594	3305	2250
595	3311	2244
596	3316	2239
597	3322	2233
598	3328	2228
599	3333	2222
600	3339	2216
601	3344	2210
602	3349	2205
603	3354	2199
604	3360	2194
605	3366	2188
606	3372	2183
607	3377	2177
608	3383	2172
609	3388	2166
610	3394	2161
611	3399	2155
612	3405	2149
613	3410	2144
614	3415	2138
615	3420	2132
616	3426	2126
617	3432	2121
618	3437	2116
619	3443	2110
620	3449	2105
621	3455	2099
622	3460	2094
623	3466	2088
624	3472	2083
625	3477	2077
626	3483	2072
627	3489	2066
628	3495	2061
629	3500	2055
630	3505	2050
631	3511	2044
632	3516	2038
633	3522	2033
634	3528	2027
635	3533	2022
636	3538	2016
637	3544	2010
638	3549	2005
639	3555	1999
640	3560	1994
641	3565	1988
642	3571	1982
643	3577	1977
644	3582	1971
645	3588	1966
646	3593	1960
647	3598	1954
648	3604	1949
649	3609	1943
650	3614	1937
651	3620	1932
652	3625	1926
653	3631	1921
654	3636	1915
655	3642	1910
656	3648	1904
657	3653	1899
658	3659	1893
659	3665	1888
660	3670	1882
661	3676	1877
662	3681	1871
663	3687	1865
664	3692	1860
665	3698	1854
666	3704	1849
667	3709	1843
668	3715	1838
669	3720	1832
670	3726	1827
671	3732	1821
672	3738	1816
673	3743	1810
674	3749	1805
675	3755	1799
676	3760	1794
677	3765	1788
678	3770	1782
679	3775	1776
680	3781	1771
681	3787	1765
682	3792	1760
683	3798	1754
684	3803	1749
685	3810	1744
686	3815	1738
687	3821	1732
688	3826	1727
689	3831	1721
690	3837	1715
691	3843	1710
692	3849	1705
693	3854	1699
694	3860	1694
695	3866	1688
696	3871	1683
697	3877	1677
698	3882	1671
699	3887	1666
700	3893	1660
701	3899	1655
702	3905	1649
703	3910	1644
704	3916	1638
705	3921	1632
706	3927	1627
707	3932	1621
708	3938	1616
709	3944	1610
710	3949	1605
711	3955	1599
712	3960	1594
713	3965	1588
714	3971	1582
715	3976	1577
716	3982	1571
717	3987	1566
718	3993	1560
719	3998	1555
720	4004	1549
721	4010	1544
722	4015	1538
723	4021	1533
724	4026	1527
725	4031	1521
726	4037	1516
727	4042	1510
728	4048	1504
729	4053	1499
730	4059	1493
731	4065	1488
732	4070	1482
733	4075	1477
734	4081	1471
735	4087	1466
736	4092	1460
737	4098	1455
738	4103	1449
739	4108	1443
740	4114	1438
741	4119	1432
742	4125	1426
743	4130	1421
744	4136	1415
745	4142	1410
746	4147	1404
747	4153	1399
748	4158	1393
749	4164	1388
750	4169	1382
751	4174	1376
752	4180	1371
753	4186	1365
754	4191	1360
755	4198	1354
756	4204	1349
757	4210	1344
758	4216	1338
759	4221	1333
760	4227	1327
761	4232	1321
762	4238	1316
763	4243	1310
764	4249	1305
765	4254	1299
766	4260	1294
767	4266	1288
768	4271	1283
769	4277	1277
770	4282	1272
771	4288	1266
772	4294	1261
773	4299	1255
774	4305	1249
775	4310	1244
776	4315	1238
777	4320	1232
778	4326	1227
779	4332	1221
780	4336	1216
781	4342	1210
782	4348	1205
783	4353	1199
784	4359	1193
785	4365	1188
786	4370	1182
787	4376	1177
788	4382	1171
789	4387	1166
790	4392	1160
791	4398	1155
792	4403	1149
793	4408	1143
794	4414	1138
795	4419	1132
796	4425	1127
797	4431	1121
798	4437	1116
799	4442	1110
800	4448	1105
801	4453	1099
802	4459	1094
803	4464	1088
804	4470	1082
805	4476	1077
806	4481	1071
807	4486	1066
808	4492	1060
809	4497	1054
810	4503	1049
811	4509	1043
812	4514	1038
813	4520	1033
814	4526	1027
815	4532	1021
816	4538	1016
817	4542	1010
818	4548	1005
819	4553	999
820	4558	993
821	4564	988
822	4569	982
823	4575	977
824	4581	971
825	4586	966
826	4592	960
827	4597	955
828	4602	949
829	4608	943
830	4613	938
831	4619	932
832	4624	927
833	4629	921
834	4635	915
835	4641	910
836	4647	905
837	4653	899
838	4659	894
839	4664	888
840	4670	882
841	4676	877
842	4681	871
843	4686	866
844	4691	860
845	4697	855
846	4702	849
847	4708	843
848	4713	838
849	4719	832
850	4725	827
851	4731	821
852	4737	816
853	4742	810
854	4748	805
855	4754	799
856	4759	794
857	4765	788
858	4771	783
859	4776	777
860	4782	772
861	4788	766
862	4793	760
863	4799	755
864	4804	749
865	4810	744
866	4816	738
867	4822	733
868	4827	727
869	4832	722
870	4837	716
871	4844	711
872	4850	705
873	4856	700
874	4861	694
875	4867	688
876	4872	683
877	4878	677
878	4884	672
879	4889	666
880	4894	661
881	4900	655
882	4906	650
883	4911	644
884	4916	638
885	4922	633
886	4928	627
887	4934	622
888	4939	616
889	4945	611
890	4950	605
891	4956	600
892	4961	594
893	4967	588
894	4972	583
895	4978	577
896	4983	572
897	4989	566
898	4995	561
899	5001	555
900	5006	550
901	5012	544
902	5017	539
903	5023	533
904	5029	527
905	5034	522
906	5040	516
907	5046	511
908	5052	505
909	5057	500
910	5062	494
911	5067	488
912	5072	483
913	5078	477
914	5084	472
915	5089	466
916	5094	461
917	5100	455
918	5105	450
919	5111	444
920	5116	438
921	5122	433
922	5127	427
923	5133	422
924	5138	416
925	5143	411
926	5149	405
927	5155	399
928	5160	394
929	5166	388
930	5171	383
931	5177	377
932	5182	372
933	5187	366
934	5193	361
935	5199	355
936	5204	349
937	5210	344
938	5215	338
939	5221	333
940	5226	327
941	5231	322
942	5236	316
943	5242	310
944	5247	305
945	5253	299
946	5259	294
947	5264	288
948	5270	283
949	5276	277
950	5281	272
951	5287	266
952	5293	261
953	5298	255
954	5304	249
955	5309	244
956	5315	238
957	5321	233
958	5327	227
959	5332	222
960	5338	216
961	5343	211
962	5349	205
963	5355	199
964	5360	194
965	5365	188
966	5371	183
967	5376	177
968	5382	172
969	5387	166
970	5392	161
971	5397	155
972	5402	149
973	5408	144
974	5414	138
975	5419	133
976	5425	127
977	5431	122
978	5437	116
979	5443	111
980	5448	105
981	5454	99
982	5459	94
983	5465	88
984	5472	83
985	5478	77
986	5482	72
987	5488	66
988	5493	61
989	5499	55
990	5505	49
991	5510	44
992	5516	38
993	5522	33
994	5527	27
995	5533	22
996	5538	16
997	5543	11
998	5549	5
999	5554	0
